text,label,is_sarcastic
The silence in my room felt overwhelming.,sadness,0
Nothing special happened today.,neutral,0
The movie was beautiful and inspiring.,joy,0
"Great, another problem right before the presentation.",anger,1
Their careless attitude made my blood boil.,anger,0
I had a peaceful walk this morning.,joy,0
I was really angry about what happened today.,anger,0
"Perfect, now there’s a notification saying something went wrong.",fear,1
"Awesome, my phone just glitched while showing a warning sign.",fear,1
The floor was sticky and uncomfortable to walk on.,disgust,0
I felt anxious waiting for the test results.,fear,0
I scrolled through my phone for a while.,neutral,0
I felt nervous walking alone in the dark.,fear,0
I had a peaceful walk this morning.,joy,0
"Great, my energy disappeared faster than I expected.",sadness,1
Spending time with my friends made me smile.,joy,0
The way they spoke to me was infuriating.,anger,0
I clenched my fists to hold back my anger.,anger,0
"What a lovely surprise, my account just got locked for 'security reasons'.",fear,1
The trash hadn’t been taken out in days.,disgust,0
I opened the door and found an unexpected package.,surprise,0
"Wonderful, another reminder that nothing really works out.",sadness,1
I organized a few files on my computer.,neutral,0
My heart raced when I heard a strange noise.,fear,0
The room smelled so bad that I wanted to leave.,disgust,0
I felt genuinely happy today.,joy,0
I really miss how things used to be.,sadness,0
We laughed a lot during dinner.,joy,0
Such a wonderful plan… I slept through half of it.,sadness,1
"What a lovely surprise, my account just got locked for 'security reasons'.",fear,1
"Fantastic, my wifi failed exactly when I needed it.",anger,1
She suddenly hugged me from behind.,surprise,0
The way they spoke to me was infuriating.,anger,0
The floor was sticky and uncomfortable to walk on.,disgust,0
Love how every week ends in disappointment.,sadness,1
"Perfect, the only thing I looked forward to is gone now.",sadness,1
I felt lonely even when I was surrounded by people.,sadness,0
Memories kept pulling me back into sadness.,sadness,0
Love how every week ends in disappointment.,sadness,1
We laughed a lot during dinner.,joy,0
Love how every month ends in disappointment.,sadness,1
"Wonderful, another reminder that nothing really works out.",sadness,1
I felt a strong urge to shout at someone.,anger,0
I really miss how things used to be.,sadness,0
My heart raced when I heard a strange noise.,fear,0
The movie was beautiful and inspiring.,joy,0
I organized a few files on my computer.,neutral,0
I couldn’t stop thinking about how unfair it was.,anger,0
My heart raced when I heard a strange noise.,fear,0
I went to bed feeling defeated.,sadness,0
We laughed a lot during dinner.,joy,0
I felt lonely even when I was surrounded by people.,sadness,0
"Wonderful, they changed the party at the last minute.",anger,1
The way they spoke to me was infuriating.,anger,0
I felt nervous walking alone in the dark.,fear,0
I was really proud of what I achieved today.,joy,0
I felt lonely even when I was surrounded by people.,sadness,0
I felt nervous walking alone in the dark.,fear,0
A sudden sound made me jump.,fear,0
The sunset looked amazing from my window.,joy,0
"Wonderful, they changed the movie at the last minute.",anger,1
I scrolled through my phone for a while.,neutral,0
Being ignored made me furious.,anger,0
Their careless attitude made my blood boil.,anger,0
It was hard to find a reason to smile today.,sadness,0
"Fantastic, my wifi failed exactly when I needed it.",anger,1
"Beautiful, the file is covered in sticky spoiled milk.",disgust,1
I organized a few files on my computer.,neutral,0
I felt nervous walking alone in the dark.,fear,0
I felt calm and satisfied after finishing my work.,joy,0
"Perfect, now there’s a notification saying something went wrong.",fear,1
"Fantastic, my keyboard failed exactly when I needed it.",anger,1
Love how the support gets worse every single day.,anger,1
Love how the office is decorated with piles of spoiled milk.,disgust,1
His reaction was very different from what I imagined.,surprise,0
The food tasted awful and made me feel sick.,disgust,0
I answered some emails and cleaned my desk.,neutral,0
Today left me with a heavy feeling in my chest.,sadness,0
I scrolled through my phone for a while.,neutral,0
The thought of failing kept me awake at night.,fear,0
"Yeah, this was definitely the best day to feel empty.",sadness,1
His reaction was very different from what I imagined.,surprise,0
It was a quiet and ordinary day.,neutral,0
I walked away before I said something I'd regret.,anger,0
Their careless attitude made my blood boil.,anger,0
A sudden sound made me jump.,fear,0
A sudden sound made me jump.,fear,0
It was hard to find a reason to smile today.,sadness,0
"Yeah, this was definitely the best day to feel empty.",sadness,1
It was a quiet and ordinary day.,neutral,0
"Awesome, the fridge smells like mud every time I open it.",disgust,1
Nothing special happened today.,neutral,0
"Yeah, this was definitely the best day to feel empty.",sadness,1
I was really proud of what I achieved today.,joy,0
The message I received made me feel uneasy.,fear,0
I folded my laundry and listened to some music.,neutral,0
The silence in my room felt overwhelming.,sadness,0
A sudden sound made me jump.,fear,0
"Sure, I absolutely enjoy touching things that feel like rotten eggs.",disgust,1
The movie was beautiful and inspiring.,joy,0
Spending time with my friends made me smile.,joy,0
I went for a short walk around the block.,neutral,0
"Perfect, the only thing I looked forward to is gone now.",sadness,1
The movie was beautiful and inspiring.,joy,0
The food tasted awful and made me feel sick.,disgust,0
A sudden sound made me jump.,fear,0
I had a peaceful walk this morning.,joy,0
The movie was beautiful and inspiring.,joy,0
"Perfect, the only thing I looked forward to is gone now.",sadness,1
I felt calm and satisfied after finishing my work.,joy,0
I didn’t expect that message at all.,surprise,0
I felt repulsed by the mess around me.,disgust,0
"Yeah, nothing makes me happier than losing my work like this.",anger,1
Love how the support gets worse every single day.,anger,1
The sunset looked amazing from my window.,joy,0
The thought of failing kept me awake at night.,fear,0
"Great, my hope disappeared faster than I expected.",sadness,1
The sink was full of dirty dishes and old food.,disgust,0
I clenched my fists to hold back my anger.,anger,0
It was a quiet and ordinary day.,neutral,0
I couldn’t stop thinking about how unfair it was.,anger,0
Today left me with a heavy feeling in my chest.,sadness,0
"Fantastic, the room smells wonderful, like spoiled milk.",disgust,1
I folded my laundry and listened to some music.,neutral,0
The thought of failing kept me awake at night.,fear,0
"Fantastic, the room smells wonderful, like rotten eggs.",disgust,1
I was really proud of what I achieved today.,joy,0
"Perfect, now there’s a notification saying something went wrong.",fear,1
His reaction was very different from what I imagined.,surprise,0
"What a lovely surprise, my account just got locked for 'security reasons'.",fear,1
